,onset,trial_type,duration
1,0.5757285488402103,cue_b,0.5
2,1.0757285488402104,delay,4.5
3,5.57572854884021,stim_by,1.0
6,7.768654860440068,cue_a,0.5
7,8.26865486044007,delay,1.5
8,9.76865486044007,stim_ax,1.0
11,11.833796779092292,cue_a,0.5
12,12.333796779092292,delay,3.0
13,15.333796779092292,stim_ay,1.0
16,17.42820624911414,cue_b,0.5
17,17.92820624911414,delay,4.5
18,22.42820624911414,stim_by,1.0
21,24.658765818612714,cue_a,0.5
22,25.158765818612714,delay,3.0
23,28.158765818612714,stim_ay,1.0
26,30.63340042293598,cue_b,0.5
27,31.13340042293598,delay,4.5
28,35.63340042293598,stim_by,1.0
31,38.1113864823288,cue_b,0.5
32,38.6113864823288,delay,3.0
33,41.6113864823288,stim_by,1.0
36,43.65742292127561,cue_b,0.5
37,44.15742292127561,delay,1.5
38,45.65742292127561,stim_by,1.0
41,48.24260559506457,cue_b,0.5
42,48.74260559506457,delay,4.5
43,53.24260559506457,stim_bx,1.0
46,55.37388390594066,cue_a,0.5
47,55.87388390594066,delay,3.0
48,58.87388390594066,stim_ax,1.0
51,60.8766919908109,cue_a,0.5
52,61.3766919908109,delay,3.0
53,64.3766919908109,stim_ay,1.0
56,67.12392006897808,cue_b,0.5
57,67.62392006897808,delay,4.5
58,72.12392006897808,stim_by,1.0
61,74.1370139912177,cue_a,0.5
62,74.6370139912177,delay,4.5
63,79.1370139912177,stim_ax,1.0
66,81.74773845956341,cue_b,0.5
67,82.24773845956341,delay,1.5
68,83.74773845956341,stim_bx,1.0
71,85.80130676379703,cue_a,0.5
72,86.30130676379703,delay,1.5
73,87.80130676379703,stim_ay,1.0
76,90.08616489859519,cue_a,0.5
77,90.58616489859519,delay,4.5
78,95.08616489859519,stim_ax,1.0
81,97.15855968565182,cue_a,0.5
82,97.65855968565182,delay,1.5
83,99.15855968565182,stim_ax,1.0
86,102.04518623118561,cue_a,0.5
87,102.54518623118561,delay,3.0
88,105.54518623118561,stim_ay,1.0
91,108.39489242560163,cue_b,0.5
92,108.89489242560163,delay,3.0
93,111.89489242560163,stim_bx,1.0
96,114.42652456867494,cue_a,0.5
97,114.92652456867494,delay,4.5
98,119.42652456867494,stim_ax,1.0
101,121.76470514690337,cue_b,0.5
102,122.26470514690337,delay,1.5
103,123.76470514690337,stim_bx,1.0
106,126.34826658137722,cue_b,0.5
107,126.84826658137722,delay,4.5
108,131.34826658137723,stim_by,1.0
111,134.9352722655495,cue_b,0.5
112,135.4352722655495,delay,3.0
113,138.4352722655495,stim_by,1.0
116,140.9785485739798,cue_a,0.5
117,141.4785485739798,delay,3.0
118,144.4785485739798,stim_ax,1.0
121,146.76537513521313,cue_a,0.5
122,147.26537513521313,delay,4.5
123,151.76537513521313,stim_ax,1.0
126,153.831050828358,cue_a,0.5
127,154.331050828358,delay,4.5
128,158.831050828358,stim_ax,1.0
131,161.16287364802835,cue_b,0.5
132,161.66287364802835,delay,1.5
133,163.16287364802835,stim_bx,1.0
136,165.54111989422358,cue_b,0.5
137,166.04111989422358,delay,1.5
138,167.54111989422358,stim_bx,1.0
141,169.56351944059853,cue_a,0.5
142,170.06351944059853,delay,1.5
143,171.56351944059853,stim_ax,1.0
146,173.6616839335001,cue_a,0.5
147,174.1616839335001,delay,1.5
148,175.6616839335001,stim_ay,1.0
151,177.76825739407812,cue_a,0.5
152,178.26825739407812,delay,4.5
153,182.76825739407812,stim_ax,1.0
156,185.02681370828023,cue_b,0.5
157,185.52681370828023,delay,1.5
158,187.02681370828023,stim_bx,1.0
161,189.10478349737656,cue_a,0.5
162,189.60478349737656,delay,4.5
163,194.10478349737656,stim_ax,1.0
166,196.184781122586,cue_b,0.5
167,196.684781122586,delay,3.0
168,199.684781122586,stim_by,1.0
171,201.80906033735153,cue_a,0.5
172,202.30906033735153,delay,1.5
173,203.80906033735153,stim_ax,1.0
176,207.003880612271,cue_b,0.5
177,207.503880612271,delay,3.0
178,210.503880612271,stim_bx,1.0
181,213.178789309662,cue_a,0.5
182,213.678789309662,delay,3.0
183,216.678789309662,stim_ay,1.0
186,219.54737660280338,cue_a,0.5
187,220.04737660280338,delay,4.5
188,224.54737660280338,stim_ay,1.0
191,226.94414111956678,cue_a,0.5
192,227.44414111956678,delay,4.5
193,231.94414111956678,stim_ax,1.0
196,234.85184805825875,cue_a,0.5
197,235.35184805825875,delay,3.0
198,238.35184805825875,stim_ax,1.0
201,240.65218843012823,cue_a,0.5
202,241.15218843012823,delay,1.5
203,242.65218843012823,stim_ax,1.0
206,245.27877587802652,cue_a,0.5
207,245.77877587802652,delay,3.0
208,248.77877587802652,stim_ax,1.0
211,251.93911639668835,cue_a,0.5
212,252.43911639668835,delay,4.5
213,256.93911639668835,stim_ay,1.0
216,259.2881306421373,cue_b,0.5
217,259.7881306421373,delay,1.5
218,261.2881306421373,stim_bx,1.0
221,264.57807800743205,cue_a,0.5
222,265.07807800743205,delay,3.0
223,268.07807800743205,stim_ax,1.0
226,271.0862262499274,cue_a,0.5
227,271.5862262499274,delay,3.0
228,274.5862262499274,stim_ax,1.0
231,276.9441713576241,cue_b,0.5
232,277.4441713576241,delay,1.5
233,278.9441713576241,stim_by,1.0
236,280.98081967195304,cue_a,0.5
237,281.48081967195304,delay,3.0
238,284.48081967195304,stim_ax,1.0
241,286.8187563197599,cue_b,0.5
242,287.3187563197599,delay,3.0
243,290.3187563197599,stim_bx,1.0
246,292.3934959220342,cue_a,0.5
247,292.8934959220342,delay,1.5
248,294.3934959220342,stim_ay,1.0
251,301.8934959220342,break_message,4.0
254,312.9760666881094,cue_b,0.5
255,313.4760666881094,delay,3.0
256,316.4760666881094,stim_by,1.0
259,318.62289605796923,cue_b,0.5
260,319.12289605796923,delay,1.5
261,320.62289605796923,stim_bx,1.0
264,322.99068967938126,cue_a,0.5
265,323.49068967938126,delay,4.5
266,327.99068967938126,stim_ax,1.0
269,330.6603181586875,cue_a,0.5
270,331.1603181586875,delay,1.5
271,332.6603181586875,stim_ax,1.0
274,334.9320529837803,cue_a,0.5
275,335.4320529837803,delay,3.0
276,338.4320529837803,stim_ax,1.0
279,340.89460315725364,cue_a,0.5
280,341.39460315725364,delay,1.5
281,342.89460315725364,stim_ax,1.0
284,345.33499277617614,cue_a,0.5
285,345.83499277617614,delay,3.0
286,348.83499277617614,stim_ay,1.0
289,350.9506963610525,cue_a,0.5
290,351.4506963610525,delay,1.5
291,352.9506963610525,stim_ay,1.0
294,355.0017517699545,cue_b,0.5
295,355.5017517699545,delay,4.5
296,360.0017517699545,stim_by,1.0
299,363.1407140658289,cue_b,0.5
300,363.6407140658289,delay,4.5
301,368.1407140658289,stim_bx,1.0
304,370.7895499168445,cue_b,0.5
305,371.2895499168445,delay,3.0
306,374.2895499168445,stim_bx,1.0
309,376.34891960261035,cue_b,0.5
310,376.84891960261035,delay,4.5
311,381.34891960261035,stim_bx,1.0
314,383.45783148052567,cue_a,0.5
315,383.95783148052567,delay,1.5
316,385.45783148052567,stim_ax,1.0
319,389.0330130484249,cue_a,0.5
320,389.5330130484249,delay,3.0
321,392.5330130484249,stim_ay,1.0
324,395.4076932990724,cue_a,0.5
325,395.9076932990724,delay,3.0
326,398.9076932990724,stim_ax,1.0
329,401.0438701867004,cue_a,0.5
330,401.5438701867004,delay,4.5
331,406.0438701867004,stim_ax,1.0
334,408.1183423689055,cue_a,0.5
335,408.6183423689055,delay,4.5
336,413.1183423689055,stim_ax,1.0
339,415.2174309089286,cue_a,0.5
340,415.7174309089286,delay,1.5
341,417.2174309089286,stim_ax,1.0
344,419.2583721196223,cue_a,0.5
345,419.7583721196223,delay,1.5
346,421.2583721196223,stim_ax,1.0
349,423.47939202590413,cue_a,0.5
350,423.97939202590413,delay,4.5
351,428.47939202590413,stim_ax,1.0
354,430.80927062886946,cue_a,0.5
355,431.30927062886946,delay,3.0
356,434.30927062886946,stim_ax,1.0
359,436.4650014187099,cue_b,0.5
360,436.9650014187099,delay,3.0
361,439.9650014187099,stim_bx,1.0
364,442.85462547567846,cue_b,0.5
365,443.35462547567846,delay,1.5
366,444.85462547567846,stim_bx,1.0
369,447.7486097448562,cue_a,0.5
370,448.2486097448562,delay,4.5
371,452.7486097448562,stim_ay,1.0
374,455.1115755124356,cue_b,0.5
375,455.6115755124356,delay,3.0
376,458.6115755124356,stim_by,1.0
379,462.1751370590213,cue_a,0.5
380,462.6751370590213,delay,3.0
381,465.6751370590213,stim_ay,1.0
384,468.44141337256417,cue_b,0.5
385,468.94141337256417,delay,1.5
386,470.44141337256417,stim_by,1.0
389,473.2021771446101,cue_b,0.5
390,473.7021771446101,delay,1.5
391,475.2021771446101,stim_by,1.0
394,477.462751385581,cue_a,0.5
395,477.962751385581,delay,3.0
396,480.962751385581,stim_ax,1.0
399,482.98669928973476,cue_b,0.5
400,483.48669928973476,delay,4.5
401,487.98669928973476,stim_by,1.0
404,491.4410662298968,cue_b,0.5
405,491.9410662298968,delay,1.5
406,493.4410662298968,stim_bx,1.0
409,496.06069198650835,cue_b,0.5
410,496.56069198650835,delay,4.5
411,501.06069198650835,stim_by,1.0
414,503.0964968587406,cue_a,0.5
415,503.5964968587406,delay,4.5
416,508.0964968587406,stim_ay,1.0
419,510.32563791721503,cue_b,0.5
420,510.82563791721503,delay,3.0
421,513.8256379172151,stim_by,1.0
424,515.9266497062367,cue_a,0.5
425,516.4266497062367,delay,3.0
426,519.4266497062367,stim_ax,1.0
429,521.9964154596569,cue_a,0.5
430,522.4964154596569,delay,1.5
431,523.9964154596569,stim_ax,1.0
434,526.2522025216061,cue_a,0.5
435,526.7522025216061,delay,1.5
436,528.2522025216061,stim_ax,1.0
439,531.5938840960989,cue_a,0.5
440,532.0938840960989,delay,1.5
441,533.5938840960989,stim_ax,1.0
444,536.8520300019741,cue_a,0.5
445,537.3520300019741,delay,4.5
446,541.8520300019741,stim_ay,1.0
449,544.1699658250533,cue_a,0.5
450,544.6699658250533,delay,3.0
451,547.6699658250533,stim_ay,1.0
454,549.7106545504248,cue_b,0.5
455,550.2106545504248,delay,3.0
456,553.2106545504248,stim_bx,1.0
459,555.7218758906965,cue_a,0.5
460,556.2218758906965,delay,1.5
461,557.7218758906965,stim_ay,1.0
464,559.9042203756723,cue_a,0.5
465,560.4042203756723,delay,3.0
466,563.4042203756723,stim_ax,1.0
469,565.4478867147293,cue_b,0.5
470,565.9478867147293,delay,4.5
471,570.4478867147293,stim_bx,1.0
474,572.4507503172067,cue_b,0.5
475,572.9507503172067,delay,3.0
476,575.9507503172067,stim_bx,1.0
479,578.4588960730617,cue_b,0.5
480,578.9588960730617,delay,4.5
481,583.4588960730617,stim_by,1.0
484,586.1443791313268,cue_a,0.5
485,586.6443791313268,delay,4.5
486,591.1443791313268,stim_ax,1.0
489,593.1704421209516,cue_b,0.5
490,593.6704421209516,delay,4.5
491,598.1704421209516,stim_by,1.0
494,600.2752980514396,cue_a,0.5
495,600.7752980514396,delay,3.0
496,603.7752980514396,stim_ay,1.0
499,605.8031397369343,cue_a,0.5
500,606.3031397369343,delay,1.5
501,607.8031397369343,stim_ax,1.0
504,615.3031397369343,break_message,4.0
507,625.8097158197335,cue_b,0.5
508,626.3097158197335,delay,4.5
509,630.8097158197335,stim_bx,1.0
512,632.9103551188034,cue_b,0.5
513,633.4103551188034,delay,4.5
514,637.9103551188034,stim_by,1.0
517,640.5635445996431,cue_b,0.5
518,641.0635445996431,delay,1.5
519,642.5635445996431,stim_bx,1.0
522,644.7321381735848,cue_b,0.5
523,645.2321381735848,delay,1.5
524,646.7321381735848,stim_by,1.0
527,648.7612470693451,cue_a,0.5
528,649.2612470693451,delay,4.5
529,653.7612470693451,stim_ay,1.0
532,658.1079792077725,cue_a,0.5
533,658.6079792077725,delay,4.5
534,663.1079792077725,stim_ay,1.0
537,666.837255218429,cue_a,0.5
538,667.337255218429,delay,1.5
539,668.837255218429,stim_ax,1.0
542,671.0937328113827,cue_b,0.5
543,671.5937328113827,delay,4.5
544,676.0937328113827,stim_bx,1.0
547,678.2465433801054,cue_b,0.5
548,678.7465433801054,delay,4.5
549,683.2465433801054,stim_by,1.0
552,685.58880884096,cue_a,0.5
553,686.08880884096,delay,1.5
554,687.58880884096,stim_ax,1.0
557,689.6275834659085,cue_b,0.5
558,690.1275834659085,delay,3.0
559,693.1275834659085,stim_bx,1.0
562,695.8308165765036,cue_a,0.5
