,eff_cue_a-cue_b,eff_stim_ay-stim_by,eff_stim_bx-stim_by,eff_all_cue,eff_all_stim,eff_all_cue_stim,vif_cue_a-cue_b,vif_stim_ay-stim_by,vif_stim_bx-stim_by,vif_all_cue,vif_all_stim,vif_all_cue_stim,scan_length,kao_measure,prob_runs_gte_2,run_num_diff_from_avg,prob_next_given_last1,prob_next_given_last2,sum_abs_diff_prob_next_given_last1,sum_abs_diff_prob_next_given_last2
88518,0.8215533216636468,1.4952241410758484,1.643073030289118,0.48430970511363,1.7184860343275523,2.921151295712555,1.302994393317809,1.1691385754132757,1.1133650984197827,1.907408561868613,2.3616407070749106,2.8073151035194965,955.3107119328436,78.39999999999999,0.2456140350877192,16.915000000000003,0.4666666666666667,0.75,0.5752753365050867,7.665294587926676
95854,0.8311201549846003,1.498209024839482,1.6332356282644749,0.4617335452606438,1.7093706092157597,2.691821712341546,1.306210585229694,1.2224591355870928,1.053182555351675,1.922914589231,2.343940764948697,3.025428128370593,956.7399011600946,68.39999999999999,0.2410714285714285,17.063400000000005,0.4482758620689655,0.75,0.4531747892720283,6.993256389166396
75924,0.8132802124508601,1.480986050483083,1.7735814229219962,0.4674710275720679,1.7251091732213828,2.8210950648656725,1.2832968358425625,1.166965490534219,1.0925023020397684,1.917752476457734,2.3688008885872924,2.913685720914472,960.177969525414,66.72,0.2592592592592592,17.2888,0.4406779661016949,0.625,0.5939047745069045,8.207387512487497
9013,0.8064931925045418,1.528742165568328,1.7614760479813825,0.4664404813690938,1.7524248250455587,2.756182291622277,1.2677605567511172,1.159818868950614,1.1021995563785107,1.9263952768703183,2.3744977994872776,2.9889623086496946,958.990554373754,69.67999999999998,0.2389380530973451,19.800400000000007,0.4666666666666667,0.6666666666666666,0.7704983988706964,7.877256892551881
32054,0.8253586304265892,1.526807712840564,1.6469394556725794,0.4570442438012878,1.7546386128272204,2.7286106127098053,1.278417280597613,1.1540314299246406,1.1335850111837125,1.9417895859015009,2.3731254350987565,3.0755961734121176,960.1782570347248,78.88,0.2589285714285714,20.844399999999997,0.4666666666666667,0.75,0.9247035813671454,8.992047256632254
