,eff_tsw_csw-tst_csw,eff_tst_csw-tst_cst,eff_all_task,vif_tsw_csw-tst_csw,vif_tst_csw-tst_cst,vif_all_task,scan_length,kao_measure,prob_runs_gte_2,run_num_diff_from_avg,prob_next_given_last1,prob_next_given_last2,pred_second_half_from_first
27397,4.512530988142271,3.568413345527634,3.4508141134486623,1.14107803551078,1.1409651710599318,6.239670545371291,571.0460449545016,50.75,0.312,19.250000000000004,0.5319148936170213,0.6,0.0
91429,4.5158395019120805,3.82544638808563,3.101877327535894,1.140838393609266,1.1374402694034649,5.973689611983879,576.7427198256254,47.75,0.3333333333333333,20.808200000000003,0.5319148936170213,0.6,0.0
58894,4.717266972962822,3.297954753708831,3.1071584977482405,1.0675914002040945,1.0831845691825932,6.144408230914794,574.0676469036752,51.375,0.3253968253968253,21.6364,0.5319148936170213,0.6363636363636364,0.0
70319,4.87636943554464,3.344245463612526,3.274050988828179,1.114795162441636,1.109417817648155,6.139529869357614,571.286563920703,44.75,0.3360655737704918,17.504999999999992,0.5208333333333334,0.6,0.0
97618,4.430649553315693,3.376868723144056,2.951886739854508,1.0708071302574569,1.111200373572934,6.393033182772496,568.6814740756432,40.75,0.3089430894308943,16.7894,0.5319148936170213,0.5714285714285714,0.0
98515,4.859591419631069,3.4359175341205868,3.0039782975584446,1.1107124287124237,1.1385718345079674,6.460689043666356,571.9573949486816,46.625,0.3109243697478992,22.1086,0.5157894736842106,0.5833333333333334,0.0
22780,4.521492015084333,3.3432742767845345,3.119589349590994,1.1299685593885809,1.1273555614444823,6.037377595222208,571.7010169075743,50.5,0.3305084745762711,15.6064,0.5319148936170213,0.5510204081632653,0.0
87602,4.450358584122801,3.44114258252306,3.406842684373705,1.1048805523929472,1.083250262052529,5.732620230441756,574.5277411343316,45.5,0.3306451612903225,14.9226,0.5416666666666666,0.6666666666666666,0.0
40985,4.707125520497457,3.5533584234800006,3.142107862416613,1.0982635972137458,1.1142226690792445,6.139255016111717,576.5062468411471,53.875,0.3305785123966941,20.4256,0.5208333333333334,0.6153846153846154,0.0
36764,4.7496985780550265,3.453030168585692,3.0368647984551105,1.0775909633647962,1.079921871613447,6.085356460690068,573.0589493809763,54.0,0.3064516129032257,18.9644,0.5416666666666666,0.5714285714285714,0.0
