,eff_stop,eff_go,eff_stop-go,eff_task,vif_stop,vif_go,vif_stop-go,vif_task,scan_length,kao_measure,prob_runs_gte_2,run_num_diff_from_avg,prob_next_given_last1,prob_next_given_last2,pred_second_half_from_first
92817,2.5709652669873977,2.992455758080655,4.695712956631581,3.243317427149141,2.4894524649059444,3.0386545500866164,1.0694606402790636,4.542260664409103,502.6374100599052,22.666666666666664,0.475,18.071800000000003,0.6779661016949152,0.6923076923076923,0.0
83441,2.562859166315146,3.0232139985985262,4.386621155204941,3.2950010872806974,2.3413180388181525,2.8958451483676835,1.0957733944535877,4.542787974601078,502.3213548038436,10.666666666666671,0.4814814814814814,19.4146,0.6666666666666666,0.7,0.0
77044,2.383063408731304,2.9076722959656363,4.436514061584019,3.072930353228712,2.488111707855584,2.8949896563398028,1.065216381533843,4.703505759565895,505.2127296534846,16.444444444444443,0.4810126582278481,16.9164,0.6722689075630253,0.6875,0.0
41046,2.28751103707708,3.1423386330968213,4.37956779901065,3.1190340449792995,2.502077692446316,2.8624864923283804,1.072843919928996,4.560831776466177,503.965237912776,19.77777777777778,0.4814814814814814,17.2002,0.6779661016949152,0.6842105263157895,0.0
36184,2.444636010962645,2.8598217346484507,4.478520202764004,3.090774613409292,2.46592101490469,3.0941649547753025,1.0758550991842484,4.708273877390504,499.87526976155806,15.77777777777778,0.4691358024691358,18.305200000000003,0.6833333333333333,0.7,0.0
