,onset,trial_type,duration
1,2.1848092391899936,emc,16.0
9,18.184809239189995,recall,5.0
11,25.262513561446866,emc,16.0
19,41.262513561446866,recall,5.0
21,48.72854754212528,emc,16.0
29,64.72854754212528,recall,5.0
31,77.99516732890568,emc,16.0
39,93.99516732890568,recall,5.0
41,102.61660481519365,emc,16.0
49,118.61660481519365,recall,5.0
51,126.62429468058227,emc,16.0
59,142.62429468058227,recall,5.0
61,154.9774394303095,emc,16.0
69,170.9774394303095,recall,5.0
71,180.08776223343904,emc,16.0
79,196.08776223343904,recall,5.0
81,207.08776223343904,break_message,4.0
84,219.32253881570315,emc,16.0
92,235.32253881570315,recall,5.0
94,244.800012606155,emc,16.0
102,260.800012606155,recall,5.0
104,274.1564939196317,emc,16.0
112,290.1564939196317,recall,5.0
114,299.2464917486454,emc,16.0
122,315.2464917486454,recall,5.0
124,322.8047022660308,emc,16.0
132,338.8047022660308,recall,5.0
134,347.3774749210459,emc,16.0
142,363.3774749210459,recall,5.0
144,377.67611449544785,emc,16.0
152,393.67611449544785,recall,5.0
154,405.9249375067905,emc,16.0
162,421.9249375067905,recall,5.0
164,432.9249375067905,break_message,4.0
167,445.31811840565433,emc,16.0
175,461.31811840565433,recall,5.0
177,468.4524099063375,emc,16.0
185,484.4524099063375,recall,5.0
187,495.1304080389072,emc,16.0
195,511.1304080389072,recall,5.0
197,520.5993711805401,emc,16.0
205,536.5993711805401,recall,5.0
207,545.8819827555967,emc,16.0
215,561.8819827555967,recall,5.0
217,574.6130051255121,emc,16.0
225,590.6130051255121,recall,5.0
227,598.0142379875398,emc,16.0
235,614.0142379875398,recall,5.0
237,629.9708705676277,emc,16.0
245,645.9708705676277,recall,5.0
247,656.9708705676277,break_message,4.0
