,onset,trial_type,duration
1,2.110715528164635,emc,16.0
9,18.110715528164633,recall,5.0
11,25.639522150953734,emc,16.0
19,41.63952215095374,recall,5.0
21,48.664979412777804,emc,16.0
29,64.6649794127778,recall,5.0
31,74.10907926969111,emc,16.0
39,90.10907926969111,recall,5.0
41,99.77106375728494,emc,16.0
49,115.77106375728494,recall,5.0
51,128.69881217205065,emc,16.0
59,144.69881217205065,recall,5.0
61,151.76550273729055,emc,16.0
69,167.76550273729055,recall,5.0
71,175.37606933029645,emc,16.0
79,191.37606933029645,recall,5.0
81,202.37606933029645,break_message,4.0
84,214.61419980945007,emc,16.0
92,230.61419980945007,recall,5.0
94,237.67980460833184,emc,16.0
102,253.67980460833184,recall,5.0
104,269.9694408737606,emc,16.0
112,285.9694408737606,recall,5.0
114,300.17556015475753,emc,16.0
122,316.17556015475753,recall,5.0
124,323.75251046392754,emc,16.0
132,339.75251046392754,recall,5.0
134,354.1136879941219,emc,16.0
142,370.1136879941219,recall,5.0
144,378.15503749695495,emc,16.0
152,394.15503749695495,recall,5.0
154,402.14191217526087,emc,16.0
162,418.14191217526087,recall,5.0
164,429.14191217526087,break_message,4.0
167,447.30984429140096,emc,16.0
175,463.30984429140096,recall,5.0
177,471.1194133909955,emc,16.0
185,487.1194133909955,recall,5.0
187,500.5611379383011,emc,16.0
195,516.561137938301,recall,5.0
197,525.4538477666916,emc,16.0
205,541.4538477666916,recall,5.0
207,550.1438331114457,emc,16.0
215,566.1438331114457,recall,5.0
217,575.0375027125111,emc,16.0
225,591.0375027125111,recall,5.0
227,605.0160192541498,emc,16.0
235,621.0160192541498,recall,5.0
237,630.0410930127816,emc,16.0
245,646.0410930127816,recall,5.0
247,657.0410930127816,break_message,4.0
