,onset,trial_type,duration
1,2.2035156962145743,emc,16.0
9,18.203515696214573,recall,5.0
11,28.225844975171874,emc,16.0
19,44.225844975171874,recall,5.0
21,55.99396977898667,emc,16.0
29,71.99396977898667,recall,5.0
31,79.12685854088164,emc,16.0
39,95.12685854088164,recall,5.0
41,108.11065855270665,emc,16.0
49,124.11065855270665,recall,5.0
51,131.62076823319532,emc,16.0
59,147.62076823319532,recall,5.0
61,164.37567641957568,emc,16.0
69,180.37567641957568,recall,5.0
71,188.7721806276878,emc,16.0
79,204.7721806276878,recall,5.0
81,215.7721806276878,break_message,4.0
84,228.89784318112078,emc,16.0
92,244.89784318112078,recall,5.0
94,253.68166929171872,emc,16.0
102,269.6816692917187,recall,5.0
104,279.32548117604154,emc,16.0
112,295.32548117604154,recall,5.0
114,305.82936498510793,emc,16.0
122,321.82936498510793,recall,5.0
124,333.16235481984995,emc,16.0
132,349.16235481984995,recall,5.0
134,357.15362200967786,emc,16.0
142,373.15362200967786,recall,5.0
144,380.9203406804786,emc,16.0
152,396.9203406804786,recall,5.0
154,405.3041329617564,emc,16.0
162,421.3041329617564,recall,5.0
164,432.3041329617564,break_message,4.0
167,445.8347357192784,emc,16.0
175,461.8347357192784,recall,5.0
177,469.2664357485766,emc,16.0
185,485.2664357485766,recall,5.0
187,500.22484423933673,emc,16.0
195,516.2248442393368,recall,5.0
197,523.526878159625,emc,16.0
205,539.526878159625,recall,5.0
207,554.0972943275716,emc,16.0
215,570.0972943275716,recall,5.0
217,577.3735478138894,emc,16.0
225,593.3735478138894,recall,5.0
227,604.57753844073,emc,16.0
235,620.57753844073,recall,5.0
237,630.2469561966037,emc,16.0
245,646.2469561966037,recall,5.0
247,657.2469561966037,break_message,4.0
