,onset,trial_type,duration
1,3.855144369980718,emc,16.0
9,19.855144369980717,recall,5.0
11,28.630908510722556,emc,16.0
19,44.630908510722556,recall,5.0
21,51.64263766858035,emc,16.0
29,67.64263766858035,recall,5.0
31,83.45305602069502,emc,16.0
39,99.45305602069502,recall,5.0
41,107.2731401438281,emc,16.0
49,123.2731401438281,recall,5.0
51,130.80774981786942,emc,16.0
59,146.80774981786942,recall,5.0
61,162.70004171899444,emc,16.0
69,178.70004171899444,recall,5.0
71,186.46180141162642,emc,16.0
79,202.46180141162642,recall,5.0
81,213.46180141162642,break_message,4.0
84,226.6529861795119,emc,16.0
92,242.6529861795119,recall,5.0
94,250.00532951678386,emc,16.0
102,266.00532951678383,recall,5.0
104,273.534338485303,emc,16.0
112,289.534338485303,recall,5.0
114,302.48351313412786,emc,16.0
122,318.48351313412786,recall,5.0
124,325.7156660700514,emc,16.0
132,341.7156660700514,recall,5.0
134,352.4350808353865,emc,16.0
142,368.4350808353865,recall,5.0
144,381.744186376526,emc,16.0
152,397.744186376526,recall,5.0
154,406.3442789850538,emc,16.0
162,422.3442789850538,recall,5.0
164,433.3442789850538,break_message,4.0
167,448.5020714141991,emc,16.0
175,464.5020714141991,recall,5.0
177,474.04139870663374,emc,16.0
185,490.04139870663374,recall,5.0
187,501.3801073485591,emc,16.0
195,517.380107348559,recall,5.0
197,528.225607065764,emc,16.0
205,544.225607065764,recall,5.0
207,557.366974071412,emc,16.0
215,573.366974071412,recall,5.0
217,580.5898488726391,emc,16.0
225,596.5898488726391,recall,5.0
227,603.7894291686065,emc,16.0
235,619.7894291686065,recall,5.0
237,631.0772823650052,emc,16.0
245,647.0772823650052,recall,5.0
247,658.0772823650052,break_message,4.0
