,onset,trial_type,duration
1,2.132995959673914,emc,16.0
9,18.132995959673913,recall,5.0
11,29.891970723981125,emc,16.0
19,45.891970723981125,recall,5.0
21,65.25111328281679,emc,16.0
29,81.25111328281679,recall,5.0
31,90.16896259659842,emc,16.0
39,106.16896259659842,recall,5.0
41,117.50662079152387,emc,16.0
49,133.50662079152386,recall,5.0
51,146.21956651925933,emc,16.0
59,162.21956651925933,recall,5.0
61,170.1730440884524,emc,16.0
69,186.1730440884524,recall,5.0
71,193.55152370191664,emc,16.0
79,209.55152370191664,recall,5.0
81,220.55152370191664,break_message,4.0
84,237.005657250847,emc,16.0
92,253.005657250847,recall,5.0
94,260.576448468584,emc,16.0
102,276.576448468584,recall,5.0
104,286.158381123478,emc,16.0
112,302.158381123478,recall,5.0
114,309.6516458422086,emc,16.0
122,325.6516458422086,recall,5.0
124,334.2376489413297,emc,16.0
132,350.2376489413297,recall,5.0
134,358.6813727498016,emc,16.0
142,374.6813727498016,recall,5.0
144,384.73807753037903,emc,16.0
152,400.73807753037903,recall,5.0
154,407.7538166282276,emc,16.0
162,423.7538166282276,recall,5.0
164,434.7538166282276,break_message,4.0
167,447.72123019660427,emc,16.0
175,463.72123019660427,recall,5.0
177,470.8768686672045,emc,16.0
185,486.8768686672045,recall,5.0
187,499.455029286204,emc,16.0
195,515.4550292862041,recall,5.0
197,525.9106315632796,emc,16.0
205,541.9106315632796,recall,5.0
207,548.9905086104623,emc,16.0
215,564.9905086104623,recall,5.0
217,576.5423273544839,emc,16.0
225,592.5423273544839,recall,5.0
227,600.1368779930932,emc,16.0
235,616.1368779930932,recall,5.0
237,631.0881042080687,emc,16.0
245,647.0881042080687,recall,5.0
247,658.0881042080687,break_message,4.0
