,onset,trial_type,duration
1,3.082601447159195,emc,16.0
9,19.082601447159195,recall,5.0
11,31.782953748686516,emc,16.0
19,47.782953748686516,recall,5.0
21,56.02318889628909,emc,16.0
29,72.0231888962891,recall,5.0
31,84.3190673892301,emc,16.0
39,100.3190673892301,recall,5.0
41,107.38552293104226,emc,16.0
49,123.38552293104226,recall,5.0
51,139.37674451932628,emc,16.0
59,155.37674451932628,recall,5.0
61,163.55728405046023,emc,16.0
69,179.55728405046023,recall,5.0
71,187.29396631334404,emc,16.0
79,203.29396631334404,recall,5.0
81,214.29396631334404,break_message,4.0
84,226.66894436941377,emc,16.0
92,242.66894436941377,recall,5.0
94,249.8010168717048,emc,16.0
102,265.8010168717048,recall,5.0
104,282.5965885816996,emc,16.0
112,298.5965885816996,recall,5.0
114,309.112931343122,emc,16.0
122,325.112931343122,recall,5.0
124,332.5159676924143,emc,16.0
132,348.5159676924143,recall,5.0
134,361.72031934472744,emc,16.0
142,377.72031934472744,recall,5.0
144,386.55549690265195,emc,16.0
152,402.55549690265195,recall,5.0
154,410.06191985026436,emc,16.0
162,426.06191985026436,recall,5.0
164,437.06191985026436,break_message,4.0
167,450.9331449256805,emc,16.0
175,466.9331449256805,recall,5.0
177,474.496228842291,emc,16.0
185,490.496228842291,recall,5.0
187,500.3613233318171,emc,16.0
195,516.3613233318172,recall,5.0
197,524.2128898549981,emc,16.0
205,540.2128898549981,recall,5.0
207,549.356696422141,emc,16.0
215,565.356696422141,recall,5.0
217,577.9215571616751,emc,16.0
225,593.9215571616751,recall,5.0
227,601.2872313816528,emc,16.0
235,617.2872313816528,recall,5.0
237,629.8744014211132,emc,16.0
245,645.8744014211132,recall,5.0
247,656.8744014211132,break_message,4.0
