,eff_recall vs baseline,eff_emc vs baseline,vif_recall vs baseline,vif_emc vs baseline,scan_length
63968,24.382776011544124,56.64686059661474,1.80770886743753,1.9402711168689808,682.0772823650052
9732,24.39509241338336,56.03609922373478,1.845097830244708,1.9937986008252773,680.7194545065566
62309,24.018829618856355,55.85211229330776,1.8359214689748615,1.978627790939485,682.0276952465669
75622,24.23343532060853,55.93474700504727,1.836334030916924,1.9875132470923007,681.2012399256454
16073,24.04617652031056,56.14002267226319,1.836659364100516,1.9742605840244911,681.2469561966037
55180,24.275865809899575,56.72073732450966,1.8213134648736489,1.9511171065378816,682.0554068498534
14383,24.006982999251186,55.95015303701179,1.8381618661978616,1.9792406683136616,681.2058972733172
78671,24.3228711805421,55.91199441403514,1.852866913525004,2.001856742138503,680.2371988809888
96303,24.00925096195543,55.85259072192183,1.8483496480338777,1.9992132221322372,682.0823368980058
70707,23.978931810182694,55.85175322118556,1.8336345015165385,1.97375600297498,681.6684493453017
72724,24.10704875513546,55.86144064197278,1.853540719681211,1.997783294196576,681.9528651844764
80568,23.973272607853005,55.80040567012103,1.8463798567412208,1.9850131125806143,681.3339415847228
91002,24.514601597271195,56.10930355099092,1.7933999706446873,1.935153390049069,680.7726359398072
96891,24.114288748402384,55.97055369920804,1.8207998196166733,1.955673871024428,682.0881042080687
89853,24.077892475328227,55.925694833170816,1.8434538869960575,1.9871845818522604,681.2382342139983
