,onset,trial_type,duration
1,3.9591808935407515,emc,16.0
9,19.95918089354075,recall,5.0
11,27.362986641920397,emc,16.0
19,43.3629866419204,recall,5.0
21,51.311817212044396,emc,16.0
29,67.31181721204439,recall,5.0
31,80.36050411085347,emc,16.0
39,96.36050411085347,recall,5.0
41,103.83219315067868,emc,16.0
49,119.83219315067868,recall,5.0
51,132.8185532381694,emc,16.0
59,148.8185532381694,recall,5.0
61,160.43103053102982,emc,16.0
69,176.43103053102982,recall,5.0
71,187.97558071732774,emc,16.0
79,203.97558071732774,recall,5.0
81,214.97558071732774,break_message,4.0
84,227.1287091012319,emc,16.0
92,243.1287091012319,recall,5.0
94,250.16588368409043,emc,16.0
102,266.16588368409043,recall,5.0
104,273.6636765068728,emc,16.0
112,289.6636765068728,recall,5.0
114,297.11883762368194,emc,16.0
122,313.11883762368194,recall,5.0
124,328.8993398278245,emc,16.0
132,344.8993398278245,recall,5.0
134,353.6187330028098,emc,16.0
142,369.6187330028098,recall,5.0
144,377.3690356186154,emc,16.0
152,393.3690356186154,recall,5.0
154,402.4886217996731,emc,16.0
162,418.4886217996731,recall,5.0
164,429.4886217996731,break_message,4.0
167,442.933316528171,emc,16.0
175,458.933316528171,recall,5.0
177,468.9480870210037,emc,16.0
185,484.9480870210037,recall,5.0
187,499.6940786207818,emc,16.0
195,515.6940786207817,recall,5.0
197,526.9418260188617,emc,16.0
205,542.9418260188617,recall,5.0
207,553.6210661998075,emc,16.0
215,569.6210661998075,recall,5.0
217,576.6696675698638,emc,16.0
225,592.6696675698638,recall,5.0
227,606.7728959737141,emc,16.0
235,622.7728959737141,recall,5.0
237,630.9120929813091,emc,16.0
245,646.9120929813091,recall,5.0
247,657.9120929813091,break_message,4.0
