,onset,trial_type,duration
1,2.811270277753599,emc,16.0
9,18.8112702777536,recall,5.0
11,26.348587286483816,emc,16.0
19,42.34858728648382,recall,5.0
21,51.38261787633711,emc,16.0
29,67.38261787633711,recall,5.0
31,77.40829407588585,emc,16.0
39,93.40829407588585,recall,5.0
41,101.07782515084885,emc,16.0
49,117.07782515084885,recall,5.0
51,124.363339242302,emc,16.0
59,140.363339242302,recall,5.0
61,155.7923499322372,emc,16.0
69,171.7923499322372,recall,5.0
71,179.0434637387973,emc,16.0
79,195.0434637387973,recall,5.0
81,206.0434637387973,break_message,4.0
84,218.7748105790794,emc,16.0
92,234.7748105790794,recall,5.0
94,242.22975359911646,emc,16.0
102,258.22975359911646,recall,5.0
104,266.19634390094484,emc,16.0
112,282.19634390094484,recall,5.0
114,292.5536051894999,emc,16.0
122,308.5536051894999,recall,5.0
124,321.25859987738517,emc,16.0
132,337.25859987738517,recall,5.0
134,345.1671483878646,emc,16.0
142,361.1671483878646,recall,5.0
144,374.1877046506101,emc,16.0
152,390.1877046506101,recall,5.0
154,398.04370540837584,emc,16.0
162,414.04370540837584,recall,5.0
164,425.04370540837584,break_message,4.0
167,437.66635458136653,emc,16.0
175,453.66635458136653,recall,5.0
177,462.2201520331378,emc,16.0
185,478.2201520331378,recall,5.0
187,488.60115410133534,emc,16.0
195,504.60115410133534,recall,5.0
197,517.3341822298487,emc,16.0
205,533.3341822298487,recall,5.0
207,547.6870037225215,emc,16.0
215,563.6870037225215,recall,5.0
217,573.7265453217882,emc,16.0
225,589.7265453217882,recall,5.0
227,599.9213862958926,emc,16.0
235,615.9213862958926,recall,5.0
237,630.2058972733172,emc,16.0
245,646.2058972733172,recall,5.0
247,657.2058972733172,break_message,4.0
