,onset,trial_type,duration
1,2.3777660317689953,emc,16.0
9,18.377766031768996,recall,5.0
11,27.755323610763686,emc,16.0
19,43.75532361076368,recall,5.0
21,56.705774375165625,emc,16.0
29,72.70577437516562,recall,5.0
31,80.05908590860435,emc,16.0
39,96.05908590860435,recall,5.0
41,109.09357218584813,emc,16.0
49,125.09357218584813,recall,5.0
51,136.59966377264604,emc,16.0
59,152.59966377264604,recall,5.0
61,167.9008518649219,emc,16.0
69,183.9008518649219,recall,5.0
71,191.1930232785505,emc,16.0
79,207.1930232785505,recall,5.0
81,218.1930232785505,break_message,4.0
84,236.1354216951677,emc,16.0
92,252.1354216951677,recall,5.0
94,259.48819808971126,emc,16.0
102,275.48819808971126,recall,5.0
104,282.919066215533,emc,16.0
112,298.919066215533,recall,5.0
114,312.5769316070074,emc,16.0
122,328.5769316070074,recall,5.0
124,337.1109243025057,emc,16.0
132,353.1109243025057,recall,5.0
134,361.2785706995689,emc,16.0
142,377.2785706995689,recall,5.0
144,388.54751922590464,emc,16.0
152,404.54751922590464,recall,5.0
154,411.64207056092766,emc,16.0
162,427.64207056092766,recall,5.0
164,438.64207056092766,break_message,4.0
167,451.60672042527466,emc,16.0
175,467.60672042527466,recall,5.0
177,475.41234463498876,emc,16.0
185,491.41234463498876,recall,5.0
187,500.6283082446807,emc,16.0
195,516.6283082446807,recall,5.0
197,529.7950794918473,emc,16.0
205,545.7950794918473,recall,5.0
207,553.3128275555831,emc,16.0
215,569.3128275555831,recall,5.0
217,578.1935178111244,emc,16.0
225,594.1935178111244,recall,5.0
227,606.4715405189945,emc,16.0
235,622.4715405189945,recall,5.0
237,631.0554068498534,emc,16.0
245,647.0554068498534,recall,5.0
247,658.0554068498534,break_message,4.0
