,onset,trial_type,duration
1,2.326123907575466,emc,16.0
9,18.326123907575465,recall,5.0
11,31.07851730987486,emc,16.0
19,47.07851730987486,recall,5.0
21,54.172804882745844,emc,16.0
29,70.17280488274585,recall,5.0
31,77.99851066397548,emc,16.0
39,93.99851066397548,recall,5.0
41,106.61767222472766,emc,16.0
49,122.61767222472766,recall,5.0
51,130.04939753136964,emc,16.0
59,146.04939753136964,recall,5.0
61,156.63746115188292,emc,16.0
69,172.63746115188292,recall,5.0
71,183.44827592003608,emc,16.0
79,199.44827592003608,recall,5.0
81,210.44827592003608,break_message,4.0
84,223.7933597972197,emc,16.0
92,239.7933597972197,recall,5.0
94,246.8617827148793,emc,16.0
102,262.86178271487927,recall,5.0
104,275.30842611994103,emc,16.0
112,291.30842611994103,recall,5.0
114,304.1097814804017,emc,16.0
122,320.1097814804017,recall,5.0
124,329.15363353632006,emc,16.0
132,345.15363353632006,recall,5.0
134,352.29188983740954,emc,16.0
142,368.29188983740954,recall,5.0
144,375.32568398941044,emc,16.0
152,391.32568398941044,recall,5.0
154,398.4753325957359,emc,16.0
162,414.4753325957359,recall,5.0
164,425.4753325957359,break_message,4.0
167,440.33488896791516,emc,16.0
175,456.33488896791516,recall,5.0
177,470.0423656951259,emc,16.0
185,486.0423656951259,recall,5.0
187,495.1855835451044,emc,16.0
195,511.1855835451044,recall,5.0
197,523.6689415967634,emc,16.0
205,539.6689415967634,recall,5.0
207,553.2012470375323,emc,16.0
215,569.2012470375323,recall,5.0
217,576.2042209761995,emc,16.0
225,592.2042209761995,recall,5.0
227,606.5848894578548,emc,16.0
235,622.5848894578548,recall,5.0
237,631.0823368980058,emc,16.0
245,647.0823368980058,recall,5.0
247,658.0823368980058,break_message,4.0
