,onset,trial_type,duration
1,3.193090961679908,emc,16.0
9,19.193090961679907,recall,5.0
11,28.143223955951402,emc,16.0
19,44.1432239559514,recall,5.0
21,58.545457131761495,emc,16.0
29,74.5454571317615,recall,5.0
31,81.5517149738167,emc,16.0
39,97.5517149738167,recall,5.0
41,111.64064087248477,emc,16.0
49,127.64064087248477,recall,5.0
51,136.52258816283663,emc,16.0
59,152.52258816283663,recall,5.0
61,162.97202736135569,emc,16.0
69,178.97202736135569,recall,5.0
71,190.63059442647634,emc,16.0
79,206.63059442647634,recall,5.0
81,217.63059442647634,break_message,4.0
84,229.68235869179242,emc,16.0
92,245.68235869179242,recall,5.0
94,256.9888230242757,emc,16.0
102,272.9888230242757,recall,5.0
104,284.2140510292436,emc,16.0
112,300.2140510292436,recall,5.0
114,313.71367440082366,emc,16.0
122,329.71367440082366,recall,5.0
124,336.7976491652249,emc,16.0
132,352.7976491652249,recall,5.0
134,362.8712082409005,emc,16.0
142,378.8712082409005,recall,5.0
144,388.61343647401117,emc,16.0
152,404.61343647401117,recall,5.0
154,411.6722870820296,emc,16.0
162,427.6722870820296,recall,5.0
164,438.6722870820296,break_message,4.0
167,451.1590610346961,emc,16.0
175,467.1590610346961,recall,5.0
177,475.3233299901923,emc,16.0
185,491.3233299901923,recall,5.0
187,498.39761859781606,emc,16.0
195,514.3976185978161,recall,5.0
197,522.8206513368677,emc,16.0
205,538.8206513368677,recall,5.0
207,549.7675618911852,emc,16.0
215,565.7675618911852,recall,5.0
217,573.6025447853145,emc,16.0
225,589.6025447853145,recall,5.0
227,597.9405273740412,emc,16.0
235,613.9405273740412,recall,5.0
237,630.6684493453017,emc,16.0
245,646.6684493453017,recall,5.0
247,657.6684493453017,break_message,4.0
