,eff_1back_v_baseline,eff_2back_v_baseline,eff_all_task,eff_2back-1back,vif_1back_v_baseline,vif_2back_v_baseline,vif_all_task,vif_2back-1back,scan_length,kao_measure,prob_runs_gte_2,run_num_diff_from_avg,prob_next_given_last1,prob_next_given_last2,pred_second_half_from_first
73056,1.674344105046318,1.6942111071957189,1.775989357223583,8.148480115017609,6.759792079014386,6.654965960751295,5.081977328197633,1.1007544093651191,399.1338807291722,246.0,1.0,70.4776,0.9322033898305084,1.0,0.0
31880,1.7539149874209574,1.7968978397613615,1.875864166126632,8.265494505683169,6.609015539613729,6.553591763234653,5.073991391825764,1.0991348849156546,396.1716450072136,246.0,1.0,70.4854,0.9322033898305084,1.0,0.0
19535,1.7388326102771707,1.7113356123831516,1.8196410549139288,8.289188803625763,6.913151884806058,6.667458695905445,5.176080505264461,1.0932808978277797,396.6709555089088,246.0,1.0,70.457,0.9322033898305084,1.0,0.0
90897,1.70742708973583,1.757140830039874,1.827903958304996,8.246265979079277,6.681584368335264,6.511189704955278,5.3072210018823895,1.0923534853478285,400.8311249893498,246.0,1.0,70.45859999999999,0.9322033898305084,1.0,0.0
88601,1.6812070665019867,1.647482005621906,1.754418259522072,8.088178492699118,6.746013851885095,6.683687773887856,5.207771832059903,1.0990056155632797,401.2700502314818,246.0,1.0,70.45859999999999,0.9322033898305084,1.0,0.0
