,eff_conj-feat,eff_conj_high-conj_low,eff_all_task,vif_conj-feat,vif_conj_high-conj_low,vif_all_task,scan_length,kao_measure,prob_runs_gte_2,run_num_diff_from_avg,prob_next_given_last1,prob_next_given_last2,pred_second_half_from_first
499,11.145019987919508,5.548463414861125,5.483895673947572,1.0990570328513751,1.1045294943288704,2.4531193853974425,635.7697341987541,80.63016152963242,0.2206896551724138,20.67900000000001,0.3191489361702128,0.4666666666666667,0.0
71100,12.198457460930928,5.464093581528937,5.267906911580385,1.0675527811120815,1.1115588884485226,2.505039148570388,635.2595108453382,91.65443296660229,0.2229729729729729,20.872999999999998,0.3333333333333333,0.4285714285714285,0.0
80989,11.684060208435378,6.065918389308191,5.156673344981426,1.0955393922145644,1.0740228595419,2.5734707252646265,630.4418717532648,86.99750846840796,0.2237762237762237,19.9404,0.2978723404255319,0.4615384615384615,0.0
92732,11.3600322195481,6.78592767041506,5.550434441774192,1.1222356874826789,1.0790250039690472,2.477865473938229,622.0414810642536,86.6363203717701,0.2302158273381295,21.781600000000005,0.3260869565217391,0.5,0.0
26045,10.941623002810768,5.658567799009518,5.608562859971746,1.110721043774033,1.0603326162323892,2.4324835685393182,631.0465218745327,77.77559418829259,0.2297297297297297,18.324600000000004,0.3260869565217391,0.5454545454545454,0.0
