,onset,trial_type,duration
1,1.635182850725614,incongruent,1.0
4,4.771707737099658,incongruent,1.0
7,6.91702706145284,congruent,1.0
10,9.160737820276497,incongruent,1.0
13,11.388347505451966,congruent,1.0
16,13.574380694415488,incongruent,1.0
19,15.619264437140647,congruent,1.0
22,17.839501720409753,incongruent,1.0
25,20.36162188898735,congruent,1.0
28,22.623144599152415,congruent,1.0
31,24.65706813486655,congruent,1.0
34,27.00944666372437,incongruent,1.0
37,29.239021882519115,congruent,1.0
40,31.366898323471343,congruent,1.0
43,33.369429594751814,congruent,1.0
46,35.86623249136927,congruent,1.0
49,37.94805110261306,congruent,1.0
52,40.00051744431843,incongruent,1.0
55,42.24163281743747,incongruent,1.0
58,44.61078249121488,incongruent,1.0
61,46.65067423715898,incongruent,1.0
64,48.944099777568546,incongruent,1.0
67,51.50560872341079,congruent,1.0
70,54.25319336407056,congruent,1.0
73,56.51383141168326,congruent,1.0
76,59.42026323588514,incongruent,1.0
79,61.99124230884138,incongruent,1.0
82,64.34198309681992,congruent,1.0
85,66.39120876662119,incongruent,1.0
88,68.54529378718476,congruent,1.0
91,71.1541529420779,incongruent,1.0
94,73.23592873512817,incongruent,1.0
97,75.45856643915597,incongruent,1.0
100,77.84566321781679,congruent,1.0
103,80.1329365254407,congruent,1.0
106,82.68665589196819,incongruent,1.0
109,84.74011962968395,congruent,1.0
112,87.1192683070694,incongruent,1.0
115,89.84469815785242,incongruent,1.0
118,91.99906042871348,congruent,1.0
121,99.49906042871348,break_message,4.0
124,110.57896108232929,congruent,1.0
127,112.65538697006959,congruent,1.0
130,114.80813565264941,congruent,1.0
133,118.01550075344696,congruent,1.0
136,120.16997955899302,congruent,1.0
139,122.23974926576273,incongruent,1.0
142,124.80563733908944,incongruent,1.0
145,126.89672443029043,incongruent,1.0
148,129.91313495612815,congruent,1.0
151,132.74205134760888,incongruent,1.0
154,134.75131451534045,congruent,1.0
157,136.91018074373193,incongruent,1.0
160,139.22813406507166,incongruent,1.0
163,141.48813908629802,incongruent,1.0
166,144.22646292664942,incongruent,1.0
169,146.53926371284584,congruent,1.0
172,148.7137469174826,incongruent,1.0
175,150.7281199261896,congruent,1.0
178,154.36088933440385,congruent,1.0
181,156.47305958985484,congruent,1.0
184,159.20055712358194,congruent,1.0
187,161.20649089183001,incongruent,1.0
190,163.24322620682386,incongruent,1.0
193,165.2899222808391,congruent,1.0
196,167.64758292976674,incongruent,1.0
199,169.99256837021767,incongruent,1.0
202,173.44883478735017,congruent,1.0
205,175.4913854592271,incongruent,1.0
208,178.1171991431612,congruent,1.0
211,181.54958868961612,congruent,1.0
214,183.96300319890813,incongruent,1.0
217,188.59007391670025,incongruent,1.0
220,191.70742830120506,congruent,1.0
223,194.04203842797486,incongruent,1.0
226,196.14167410363657,congruent,1.0
229,199.13001460642184,incongruent,1.0
232,201.4729176682406,incongruent,1.0
235,203.61878462247546,congruent,1.0
238,205.63042380199124,congruent,1.0
241,207.71784010314596,incongruent,1.0
244,215.21784010314596,break_message,4.0
247,225.88944466933148,congruent,1.0
250,228.62772815634418,incongruent,1.0
253,230.9880765048958,incongruent,1.0
256,233.086165236756,incongruent,1.0
259,235.2660635559099,incongruent,1.0
262,237.4086806281595,congruent,1.0
265,239.8789231056496,congruent,1.0
268,242.013864497988,congruent,1.0
271,245.26835708645527,congruent,1.0
274,248.88214974017188,incongruent,1.0
277,251.59263929829922,congruent,1.0
280,254.03759614502894,incongruent,1.0
283,256.83326828087394,incongruent,1.0
286,258.8855185284457,incongruent,1.0
289,261.00761771921,incongruent,1.0
292,263.5968189199777,incongruent,1.0
295,265.82526298573083,incongruent,1.0
298,268.59430165954114,congruent,1.0
301,271.0228094050226,congruent,1.0
304,273.4605254287513,incongruent,1.0
307,275.88777938770056,congruent,1.0
310,279.16545455951666,congruent,1.0
313,282.0643110223277,congruent,1.0
316,284.9243761608867,incongruent,1.0
319,288.95233824473763,incongruent,1.0
322,291.11475223890966,congruent,1.0
325,293.2337378261235,incongruent,1.0
328,295.3009820496555,congruent,1.0
331,297.37699287476136,incongruent,1.0
334,299.4357273939167,congruent,1.0
337,301.56294654749814,congruent,1.0
340,304.37835273089206,congruent,1.0
343,306.57862974823206,incongruent,1.0
346,308.6569834843332,incongruent,1.0
349,310.85229419620623,congruent,1.0
352,312.8814682977271,incongruent,1.0
355,315.14313170168725,incongruent,1.0
358,317.4247494561081,congruent,1.0
361,319.62319441005206,congruent,1.0
364,321.88704962881974,congruent,1.0
367,329.38704962881974,break_message,4.0
