,onset,trial_type,duration
1,0.8688121699324627,congruent,1.0
4,3.4557057993968483,incongruent,1.0
7,5.503554319237863,congruent,1.0
10,8.431304236634077,congruent,1.0
13,10.53839856698927,incongruent,1.0
16,12.93830725759394,congruent,1.0
19,16.94631321290807,congruent,1.0
22,19.164616412524023,congruent,1.0
25,21.61358419858203,incongruent,1.0
28,23.707378951886046,congruent,1.0
31,26.702591709934126,incongruent,1.0
34,28.731450033144984,incongruent,1.0
37,30.78658404324536,incongruent,1.0
40,32.806806394195256,incongruent,1.0
43,35.015680506731826,incongruent,1.0
46,37.70184034029951,incongruent,1.0
49,39.77728797907214,congruent,1.0
52,41.998507425526476,incongruent,1.0
55,45.36701506475454,incongruent,1.0
58,47.8092235854595,congruent,1.0
61,49.96364521249117,congruent,1.0
64,52.05985569951809,congruent,1.0
67,55.49509049701551,congruent,1.0
70,57.80913226290116,incongruent,1.0
73,61.1866861325352,congruent,1.0
76,63.84655828810547,congruent,1.0
79,66.73822409690595,incongruent,1.0
82,69.20125529104978,incongruent,1.0
85,71.59709810121674,congruent,1.0
88,73.7483184256092,incongruent,1.0
91,76.46983799265765,incongruent,1.0
94,78.64965467406121,incongruent,1.0
97,80.8499818870821,congruent,1.0
100,83.23921021258177,incongruent,1.0
103,85.92723007389228,incongruent,1.0
106,88.1007579251397,congruent,1.0
109,91.18471210791391,congruent,1.0
112,93.39338924690198,congruent,1.0
115,95.59280655883506,congruent,1.0
118,98.0144737111756,incongruent,1.0
121,105.5144737111756,break_message,4.0
124,116.73863313399977,congruent,1.0
127,119.31549183268648,incongruent,1.0
130,121.58143098869922,congruent,1.0
133,123.67358748295739,incongruent,1.0
136,125.82188554674086,congruent,1.0
139,127.84957966645763,congruent,1.0
142,130.35025407563407,congruent,1.0
145,132.5346723326931,incongruent,1.0
148,134.7846169841225,congruent,1.0
151,136.93106103952073,incongruent,1.0
154,139.02179204405115,incongruent,1.0
157,141.8198718478655,congruent,1.0
160,144.526620275791,congruent,1.0
163,146.61324593620907,congruent,1.0
166,148.75169847383341,incongruent,1.0
169,153.0059493776417,congruent,1.0
172,155.34345280011945,incongruent,1.0
175,158.33366480594114,incongruent,1.0
178,160.50629999732575,congruent,1.0
181,162.65372827342068,incongruent,1.0
184,164.78627569896716,congruent,1.0
187,166.82142904575974,incongruent,1.0
190,169.11790851496067,congruent,1.0
193,171.4702833416433,incongruent,1.0
196,173.88979503394654,congruent,1.0
199,175.96278362770485,congruent,1.0
202,178.03582710188257,incongruent,1.0
205,182.99236585166213,incongruent,1.0
208,185.18483027679645,incongruent,1.0
211,187.38501460316093,incongruent,1.0
214,189.51810211481114,congruent,1.0
217,191.7175189340903,congruent,1.0
220,193.74750996585686,incongruent,1.0
223,196.07077441052954,incongruent,1.0
226,198.4324038880253,incongruent,1.0
229,200.60840609203206,incongruent,1.0
232,202.6142887181963,incongruent,1.0
235,205.58549750018472,congruent,1.0
238,207.7101357129166,congruent,1.0
241,209.8631337413524,congruent,1.0
244,217.3631337413524,break_message,4.0
247,228.1406081272493,congruent,1.0
250,230.164101647547,congruent,1.0
253,232.1925735618723,congruent,1.0
256,234.26166875372846,congruent,1.0
259,236.45170598772404,incongruent,1.0
262,238.47046481697328,congruent,1.0
265,240.5031589890876,incongruent,1.0
268,242.71349066359178,incongruent,1.0
271,245.83502957400498,incongruent,1.0
274,247.86669432147482,incongruent,1.0
277,250.64748826739967,incongruent,1.0
280,252.88255434906367,congruent,1.0
283,255.00731495766806,congruent,1.0
286,257.05387236471176,incongruent,1.0
289,259.92229506166814,incongruent,1.0
292,262.4298539822869,incongruent,1.0
295,266.43493373387764,congruent,1.0
298,268.72081175526176,congruent,1.0
301,271.27035295544283,incongruent,1.0
304,273.4214367569282,congruent,1.0
307,275.43280849407495,incongruent,1.0
310,277.45892908797157,incongruent,1.0
313,279.7185107421882,congruent,1.0
316,282.55802079800736,incongruent,1.0
319,285.22213733961087,incongruent,1.0
322,287.32993827252295,congruent,1.0
325,290.5763395565203,congruent,1.0
328,293.02842927065325,incongruent,1.0
331,296.2483627979962,incongruent,1.0
334,299.620833359207,congruent,1.0
337,302.0256304930693,congruent,1.0
340,305.02881704409384,congruent,1.0
343,307.17401127617796,congruent,1.0
346,309.92322675667066,congruent,1.0
349,312.7733058050958,incongruent,1.0
352,315.05219508756306,congruent,1.0
355,317.6464556829161,incongruent,1.0
358,320.3046993753432,incongruent,1.0
361,322.6379475678201,congruent,1.0
364,325.6894984253198,incongruent,1.0
367,333.1894984253198,break_message,4.0
