,onset,trial_type,duration
1,3.1404035693298025,emc,16.0
9,19.140403569329802,recall,5.0
11,28.524564350514364,emc,16.0
19,44.52456435051437,recall,5.0
21,51.77522146856485,emc,16.0
29,67.77522146856485,recall,5.0
31,81.37031072954017,emc,16.0
39,97.37031072954017,recall,5.0
41,104.59680499697492,emc,16.0
49,120.59680499697492,recall,5.0
51,129.1189279868602,emc,16.0
59,145.1189279868602,recall,5.0
61,155.04270188591414,emc,16.0
69,171.04270188591414,recall,5.0
71,180.5662589641145,emc,16.0
79,196.5662589641145,recall,5.0
81,207.5662589641145,break_message,4.0
84,222.5594867635735,emc,16.0
92,238.5594867635735,recall,5.0
94,246.89479578969235,emc,16.0
102,262.89479578969235,recall,5.0
104,279.9548959128195,emc,16.0
112,295.9548959128195,recall,5.0
114,313.68437364216015,emc,16.0
122,329.68437364216015,recall,5.0
124,337.5445730497802,emc,16.0
132,353.5445730497802,recall,5.0
134,369.47859212842144,emc,16.0
142,385.47859212842144,recall,5.0
144,393.0194549411951,emc,16.0
152,409.0194549411951,recall,5.0
154,416.09101403793517,emc,16.0
162,432.09101403793517,recall,5.0
164,443.09101403793517,break_message,4.0
167,455.39371772245585,emc,16.0
175,471.39371772245585,recall,5.0
177,479.77974801914826,emc,16.0
185,495.77974801914826,recall,5.0
187,503.18377238595986,emc,16.0
195,519.1837723859599,recall,5.0
197,527.9127218855867,emc,16.0
205,543.9127218855867,recall,5.0
207,551.5824198423652,emc,16.0
215,567.5824198423652,recall,5.0
217,577.0995187020162,emc,16.0
225,593.0995187020162,recall,5.0
227,605.7466535576674,emc,16.0
235,621.7466535576674,recall,5.0
237,630.9528651844764,emc,16.0
245,646.9528651844764,recall,5.0
247,657.9528651844764,break_message,4.0
