,onset,trial_type,duration
1,3.244453523806684,emc,16.0
9,19.244453523806683,recall,5.0
11,26.364080733329676,emc,16.0
19,42.36408073332967,recall,5.0
21,50.42500129891074,emc,16.0
29,66.42500129891074,recall,5.0
31,80.96398870235973,emc,16.0
39,96.96398870235973,recall,5.0
41,108.65088690925278,emc,16.0
49,124.65088690925278,recall,5.0
51,133.3845838078843,emc,16.0
59,149.3845838078843,recall,5.0
61,160.6115158094246,emc,16.0
69,176.6115158094246,recall,5.0
71,184.98709861218842,emc,16.0
79,200.98709861218842,recall,5.0
81,211.98709861218842,break_message,4.0
84,224.0841552726868,emc,16.0
92,240.0841552726868,recall,5.0
94,247.42148529927536,emc,16.0
102,263.42148529927533,recall,5.0
104,283.07300516574213,emc,16.0
112,299.07300516574213,recall,5.0
114,306.7217174916685,emc,16.0
122,322.7217174916685,recall,5.0
124,337.4086720714436,emc,16.0
132,353.4086720714436,recall,5.0
134,360.42382415676695,emc,16.0
142,376.42382415676695,recall,5.0
144,385.0497868525818,emc,16.0
152,401.0497868525818,recall,5.0
154,408.61297088117533,emc,16.0
162,424.61297088117533,recall,5.0
164,435.61297088117533,break_message,4.0
167,448.3273561382574,emc,16.0
175,464.3273561382574,recall,5.0
177,471.73252439707653,emc,16.0
185,487.73252439707653,recall,5.0
187,499.19984335396,emc,16.0
195,515.19984335396,recall,5.0
197,524.3173443001514,emc,16.0
205,540.3173443001514,recall,5.0
207,547.6125676362219,emc,16.0
215,563.6125676362219,recall,5.0
217,582.2644639975321,emc,16.0
225,598.2644639975321,recall,5.0
227,605.7312791485126,emc,16.0
235,621.7312791485126,recall,5.0
237,629.2371988809888,emc,16.0
245,645.2371988809888,recall,5.0
247,656.2371988809888,break_message,4.0
